date,price
2024-07-06,3873
2024-07-07,3898
2024-07-08,3989
2024-07-09,4080
2024-07-10,3890
2024-07-11,4086
2024-07-12,4192
2024-07-13,4036
2024-07-14,4081
2024-07-15,4187
2024-07-16,4160
2024-07-17,4159
2024-07-18,4268
2024-07-19,4270
2024-07-20,4157
2024-07-21,4118
2024-07-22,4274
2024-07-23,4426
2024-07-24,4400
2024-07-25,4247
2024-07-26,4091
2024-07-27,4024
2024-07-28,3937
2024-07-29,3773
2024-07-30,3743
2024-07-31,3689
2024-08-01,3804
2024-08-02,3990
2024-08-03,4034
2024-08-04,3895
2024-08-05,3723
2024-08-06,3583
2024-08-07,3605
2024-08-08,3589
2024-08-09,3526
2024-08-10,3618
2024-08-11,3506
2024-08-12,3391
2024-08-13,3217
2024-08-14,3370
2024-08-15,3529
2024-08-16,3337
2024-08-17,3255
2024-08-18,3405
2024-08-19,3562
2024-08-20,3634
2024-08-21,3439
2024-08-22,3453
2024-08-23,3417
2024-08-24,3562
2024-08-25,3701
2024-08-26,3530
2024-08-27,3565
2024-08-28,3747
2024-08-29,3896
2024-08-30,4084
2024-08-31,4224
2024-09-01,4262
2024-09-02,4284
2024-09-03,4223
2024-09-04,4086
2024-09-05,4147
2024-09-06,4045
2024-09-07,4167
2024-09-08,4014
2024-09-09,4086
2024-09-10,4237
2024-09-11,4373
2024-09-12,4573
2024-09-13,4477
2024-09-14,4384
2024-09-15,4443
2024-09-16,4623
2024-09-17,4649
2024-09-18,4847
2024-09-19,4975
2024-09-20,4995
2024-09-21,4908
2024-09-22,4912
2024-09-23,4878
2024-09-24,5061
2024-09-25,5159
2024-09-26,5091
2024-09-27,4942
2024-09-28,4758
2024-09-29,4663
2024-09-30,4841
2024-10-01,5029
2024-10-02,5178
2024-10-03,5090
2024-10-04,4908
2024-10-05,4761
2024-10-06,4744
2024-10-07,4632
2024-10-08,4563
2024-10-09,4747
2024-10-10,4624
2024-10-11,4778
2024-10-12,4838
2024-10-13,4933
2024-10-14,5056
2024-10-15,5168
2024-10-16,5291
2024-10-17,5440
2024-10-18,5350
2024-10-19,5388
2024-10-20,5585
2024-10-21,5641
2024-10-22,5754
2024-10-23,5880
2024-10-24,5843
2024-10-25,5916
2024-10-26,5814
2024-10-27,5663
2024-10-28,5847
2024-10-29,5754
2024-10-30,5575
2024-10-31,5437
2024-11-01,5439
2024-11-02,5443
2024-11-03,5560
2024-11-04,5466
2024-11-05,5270
2024-11-06,5179
2024-11-07,5240
2024-11-08,5387
2024-11-09,5504
2024-11-10,5470
2024-11-11,5596
2024-11-12,5714
2024-11-13,5835
2024-11-14,6016
2024-11-15,6069
2024-11-16,5941
2024-11-17,6020
2024-11-18,6202
2024-11-19,6039
2024-11-20,5979
2024-11-21,6078
2024-11-22,6184
2024-11-23,6297
2024-11-24,6100
2024-11-25,6005
2024-11-26,5857
2024-11-27,5896
2024-11-28,5989
2024-11-29,5804
2024-11-30,5826
2024-12-01,5867
2024-12-02,5723
2024-12-03,5836
2024-12-04,6029
2024-12-05,6105
2024-12-06,6287
2024-12-07,6167
2024-12-08,5979
2024-12-09,5933
2024-12-10,5817
2024-12-11,5965
2024-12-12,6038
2024-12-13,6106
2024-12-14,6052
2024-12-15,6034
2024-12-16,6055
2024-12-17,6024
2024-12-18,6117
2024-12-19,6101
2024-12-20,6058
2024-12-21,6174
2024-12-22,6256
2024-12-23,6405
2024-12-24,6282
2024-12-25,6247
2024-12-26,6410
2024-12-27,6448
2024-12-28,6328
2024-12-29,6426
2024-12-30,6561

